trip_id,schedule_relationship,route_id,latitude,longitude,current_stop_sequence,timestamp,vehicle_id,vehicle_label,color
1_4812520^+,0,158,52.364830017089844,16.93092918395996,17,1758112644,1921,158/3,#FFA500
1_4812547^+,0,159,52.41197967529297,16.863269805908203,10,1758112629,1263,159/1,#FFA500
1_4812584^+,0,159,52.4144401550293,16.825040817260742,2,1758112629,1915,159/15,#FFA500
1_4812627^+,0,159,52.40660095214844,16.910629272460938,3,1758112629,1935,159/2,#FFA500
1_4812655^+,0,159,52.402671813964844,16.911699295043945,0,1758112639,1301,159/3,#FFA500
1_4812686^+,0,164,52.39223098754883,16.885969161987305,8,1758112644,1315,164/3,#FFA500
1_4812703^+,0,160,52.4114990234375,16.930919647216797,26,1758112644,1937,160/1,#FFA500
1_4812745^+,0,160,52.43804168701172,16.9041690826416,15,1758112644,1891,160/2,#FFA500
1_4812767^+,0,160,52.451900482177734,16.849000930786133,0,1758112644,1651,160/3,#FFA500
1_4812790^+,0,146,52.451900482177734,16.84910011291504,0,1758112639,1456,146/5,#FFA500
1_4812815^+,0,160,52.43954086303711,16.889129638671875,16,1758112634,1665,160/5,#FFA500
1_4812829^+,0,160,52.4140510559082,16.92112922668457,4,1758112644,1604,160/6,#FFA500
1_4812851^+,0,160,52.416900634765625,16.9384708404541,0,1758112639,1648,160/7,#FFA500
1_4812880^+,0,196,52.385948181152344,16.97484016418457,10,1758112644,1846,196/2,#FFA500
1_4812896^+,0,154,52.351348876953125,17.02281951904297,0,1758112644,1669,154/7,#FFA500
1_4812925^+,0,166,52.38431930541992,16.99736976623535,13,1758112644,1673,166/4,#FFA500
1_4812947^+,0,193,52.394309997558594,16.861000061035156,9,1758112639,1204,193/2,#FFA500
1_4812967^+,0,163,52.40821075439453,16.917680740356445,6,1758112644,1894,163/2,#FFA500
1_4812986^+,0,193,52.38212966918945,16.881879806518555,0,1758112639,1711,193/4,#FFA500
1_4813006^+,0,163,52.41680908203125,16.939189910888672,0,1758112634,1001,163/3,#FFA500
1_4813028^+,0,163,52.41117858886719,16.93368911743164,19,1758112644,1926,163/4,#FFA500
1_4813050^+,0,163,52.382240295410156,16.882190704345703,0,1758112634,1506,163/5,#FFA500
1_4813050^+,0,163,52.41022872924805,16.884109497070312,11,1758112644,1267,163/5,#FFA500
1_4813071^+,0,163,52.39963912963867,16.863670349121094,6,1758112639,1007,163/7,#FFA500
1_4813096^+,0,163,52.381961822509766,16.88163948059082,0,1758112639,1023,163/8,#FFA500
1_4813129^+,0,164,52.4405517578125,16.870849609375,26,1758112644,1307,164/1,#FFA500
